讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2015-02-12(星期四)15:00-16:00,Ms. Mengling Li,                                            Nanyang Technological UniversityMengling_Li_CV.pdf,Pareto Stability in Many-to-Many Matching Markets with Ties: Theory and...,A501 经济楼/Economics Building ,"                                                                strongAbstract/strong: This paper studies a generalized many-to-many matching problem with ties. The complications in such a problem are due to multi-unit capacities and weak preferences, either of which could make a stable matching outcome not necessarily Pareto efficient. A natural solution concept is Pareto stability, which ensures both stability and Pareto efficiency. We show that a Pareto stable matching always exists and develop an efficient algorithm to compute one. For a practical matching market design problem where one side of the market has homogeneous preferences, for instance, course allocation, we propose two new competing Pareto stable mechanisms known as the Pareto-improving draft and dictatorship mechanisms. Using unique course matching data, our simulations show that both mechanisms can significantly improve the overall efficiency and welfare of students compared to the existing mechanism, with the draft mechanism outperforming the dictatorship mechanism despite its non-strategyproofness for the students."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2015-01-27(星期二)16:00-17:30,蔡熙乾博士,                    ,Gender Gap under Pressure: Performance and Reaction to Shocks,经济楼A501,                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2015-01-21(星期三)16:30-18:00, Jia Hao,                                            Visiting ScholarDepartment of FinanceStephen M. Ross School of BusinessUniversity of MichiganProf. Jia Hao's CV,"Market Making Contracts, Firm Value, and the IPO Decision",N303 经济楼/Economics Building,"                                                                div style=""text-align: left;""Abstract:div style=""text-align: left;""We examine the effects of secondary market liquidity on firm value and the decision to conduct an Initial Public Offering (IPO). Competitive liquidity provision can lead to market failure as the IPO either does not occur or the IPO price is discounted to reflect that some welfare-enhancing secondary trades do not occur. Market failure arises when uncertainty regarding fundamental value and asymmetric information are large in combination. In these cases, firm value and social welfare are improved by a contract where the firm engages a Designated Market Maker (DMM) to enhance liquidity. Our model implies that such contracts represent a market solution to a market imperfection, particularly for small growth firms. In contrast, proposals to encourage IPOs by use of a larger tick size are likely to be counterproductive.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2015-01-06(星期二)16:30-18:00, Wai-Man (Raymond) LIU,"                                            Senior Lecturer in FinanceResearch School of Finance, Actuarial Studies &amp; Applied StatisticsAustralian National University&nbsp;Prof. Wai-Man (Raymond) LIU' CV",Harnessing media attention: Strategic corporate press releases and medi...,N303 经济楼/Economics Building,"                                                                Abstract: We document that firms are 80% more likely to issue non-earnings press releases during the earnings announcement period when delivering extremely negative earnings news. &nbsp;Non-earnings press releases are insufficient to improve negative announcement returns in isolation. &nbsp;However, if the media covers the non-earnings press release, announcement returns increase by about 6% followed by a partial reversal. &nbsp;Our results suggest that while the non-earnings press releases are value relevant, investors tend to overreact to the media reporting of the non-earnings news. &nbsp;These valuation effects are concentrated in small firms."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2015-01-05(星期一)16:30-18:00,Lingzhou Xue,                                            CV：stat.psu.edu/new-faculty-bios/lingzhou-xue,Multi-task Quantile Regression under the Transnormal Model,经济楼N303,"                                                                span style=""font-size: small;""span style=""font-family: Arial;""We consider estimating multi-task quantile regression under the transnormal model, with focus on high-dimensional setting. &nbsp;We derive a surprisingly simple closed-form solution through rank-based covariance regularization. In particular, we propose the rank-based $\ell_1$ penalization with positive definite constraints for estimating sparse covariance matrices, and the rank-based banded Cholesky decomposition regularization for estimating banded precision matrices. By taking advantage of alternating direction method of multipliers, nearest correlation matrix projection is introduced that inherits sampling properties of the unprojected indefinite matrix. Our work combines strengths of quantile regression and rank-based covariance regularization to simultaneously deal with nonlinearity, nonnormality and high dimensionality for high-dimensional regression. Furthermore, the proposed method strikes a nice balance between robustness and efficiency, achieves the ``oracle''-like convergence rate, and provides the provable prediction interval under the high-dimensional setting where dimension is at a nearly exponential rate to sample size. The finite-sample performance of the proposed method is also examined. The superior performance of our proposed rank-based method is demonstrated in a real application to analyze the call center arrival data./span/span&nbsp;div style=""font-family: Helvetica, 'Microsoft Yahei', verdana; font-size: 14px; line-height: 23px;""&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-29(星期一)16:30-18:00,Zhengjun Zhang,"                                            Zhengjun Zhang, Department of Statistics,&nbsp;University of Wisconsin MadisonCV：www.stat.wisc.edu/~zjz/Interests.html&nbsp;",Generalized Measures of Correlation and Their Implications in GARCH and...,经济楼N302,"                                                                &nbsp;span style=""font-family: Helvetica, sans-serif; line-height: 17.25pt;""Applicability of Pearson's correlation as a measure of explained variance is by now well understood. One of its limitations is that it does not account for asymmetry in explained variance. Aiming to obtain broad applicable correlation measures, we use a pair of r-squares of generalized regression to deal with asymmetries in explained variances, and linear or nonlinear relations between random variables. We call the pair of r-squares of generalized regression generalized measures of correlation (GMC). We present examples under which the paired measures are identical, and they become a symmetric correlation measure which is the same as the squared Pearson's correlation coefficient. As a result, Pearson's correlation is a special case of GMC. Theoretical properties of GMC show that GMC can be applicable in numerous applications and can lead to more meaningful conclusions and decision making. In statistical inferences, the joint asymptotics of the kernel based estimators for GMC are derived and are used to test whether or not two random variables are symmetric in explaining variances. The testing results give important guidance in practical model selection problems. In real data analysis, this talk presents ideas of using GMCs as an indicator of suitability of asset pricing models, and hence new pricing models may be motivated from this indicator./spanp class=""MsoNormal"" style=""line-height:17.25pt;mso-pagination:widow-orphan""span lang=""EN-US"" style=""font-family: Helvetica, sans-serif;""o:p/o:p/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-25(星期四)16:30-18:00, Hui Wang,                                            Assistant ProfessorGuanghua School of ManagementPeking University&nbsp;Prof. Hui Wang' CV,The Long-term Effects of Protestant Activities in China,N303 经济楼/Economics Building,"                                                                Abstract:Does culture, and in particular religion, exert an independent causal effect on long-term economic growth, or do culture and religion merely reflect the latter? We explore this issue by studying the case of Protestantism in China during the late nineteenth and early twentieth centuries. Combining county-level data on Protestant presence in 1920 and socioeconomic indicators in 2000, we find that the spread of Protestantism has generated significant positive effects in long-term economic growth, educational development, and health care outcomes. To better understand whether the relationship is causal, we exploit the fact that missionaries purposefully undertook disaster relief work to gain the trust of the local people. Thus, we use the frequency of historical disasters as an instrument for Protestant distribution. Our IV results confirm and enhance our OLS results. When we further investigate the transmission channels over the long historical period between 1920 and 2000, we find that although improvements in education and health care outcomes account for a sizable portion of the total effects of missionaries&rsquo; past activities on today&rsquo;s economic outcomes, Protestant activities may have also contributed to long-term economic growth through other channels, such as through transformed social values. If so, then a significant amount of China&rsquo;s growth since 1978 is the result not just of sudden institutional changes but of human capital and social values acquired over a longer historical period.&nbsp;a href=""/EventsMgr/Upload/File/2014/12/20141218094854890.pdf""The paper download/a"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-24(星期三)16:30-18:00, Yinggang Zhou,                                            &nbsp;The Chinese University of Hong KongBusiness SchoolProf. Yinggang Zhou' CV,Quantitative Easing and Volatility Spillovers across Countries and Asse...,N303 经济楼/Economics Building,"                                                                AbstractWe identify networks of volatility spillovers and examine time-varying spillover intensities with daily implied volatilities of US Treasury bonds, global stock indexes, and commodities. The US stock market is the center of the international volatility spillover network and its volatility spillover to other markets has intensified in the era of quantitative easing. Moreover, we find that US quantitative easing is a primary driver of intensifying spillover from the US to the rest of the world. Our findings highlight the central contribution of US unconventional monetary policy to volatility spillovers and potential systemic risk across the global financial system.&nbsp;Keywords: volatility spillover; risk neutral volatility; quantitative easing; systemic risk; financial network; structural VAR&nbsp;JEL Classifications: G01, G15, G32&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-23(星期二)16:30-18:00, Xin Guo,"                                            Department of Industrial Engineering and Operations ResearchUniversity of California,&nbsp;Berkeley, CA&nbsp;Prof. Xin Guo' CV",High Frequency Trading,N303 经济楼/Economics Building,"                                                                Abstract: &nbsp;Algorithmic trading refers to the automatic and rapid trading of large quantities with orders specified and implemented by an algorithm. Roughly speaking, algorithmic trading is based on two different time scales: the daily or weekly scale, and a smaller (ten to hundred seconds) time scale. These two time scales essentially reflect the two steps by which the traders slice and place orders. The first step is to optimally slice big orders into smaller ones on a daily basis with the goal to minimize the price impact and/or to maximize the expected utility; the second step is to optimally place the orders within seconds. The former is the well-known optimal execution problem and the latter is the much less-studied optimal placement problem. This talk reviews several simple models and approaches for both problems. Several most relevant statistical issues are discussed, together with a brief discussion on the key differences between the system of limit order book and the multiclass queues with reneging."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-22(星期一)09:00-11:00, Bing Han,                    ,Noise Trader Risk and Hedge Fund Returns,经济楼A501,"                                                                This paper documents a new and important cross-sectional determinant of hedge fund ex-pected returns, their exposures to noise trader risk, measured as beta of fund returns with re-spect to unexpected change in investor sentiment. Using the Baker and Wurgler (2007) sen-timent index, and for a comprehensive sample of equity-oriented hedge funds over the period 1994-2010, we find strong evidence that, on average, hedge funds with higher sentiment beta subsequently outperform those with lower sentiment beta by about 0.6% per month. The dif-ference in the average returns increases to about 0.82% after controlling for risk factors iden-tified in existing studies. Our findings suggest that noise trader risk is priced in hedge funds.Keywords: Hedge funds, investor sentiment, sentiment risk, sentiment timing, fund returns"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-18(星期四)16:30-18:00, Guochang Zhao,                                            &nbsp;Research Institute of Economics and ManagementSouthwestern University of Finance and Economics&nbsp;Prof. Guochang Zhao' CV&nbsp;,The Intergenerational Effect of the Chinese Cultural Revolution on Educ...,N303 经济楼/Economics Building,"                                                                Abstract:This paper aims to examine the causal effec of parental education on children's education. Parents and their children share many common characteristics which are often unobserved --- this causes the omitted-variable bias. To eliminate this bias, we use school interruption during the Chinese Cultural Revolution (CR) as an instrument. The Chinese Cultural Revolution (1966-1976) significantly interrupted one generation's education, but has had no direct effect on the next generation. The empirical results suggest that in urban China, a one year decrease in parent's schooling because of school interruption during the CR leads to a 0.27-0.38 year decrease in the child's schooling; if a parent did not obtain a university degree because of school interruption during the CR, the child is 35-53 percent less likely to obtain a university degree. The results also suggest that maternal education may have a greater influence on children's education than paternal education. Overall, for the particular group whose education was changed by the CR, this paper confirms a significant and sizable causal effect on their children's education."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-17(星期三)16:30-18:00,GUANGMING PAN,"                                            &nbsp;Guangming Pan,&nbsp;Associate Professor of&nbsp;Nanyang Technological University,&nbsp;SingaporeCV:&nbsp;EventsMgr/Upload/File/2014/12/20141201085519990.pdf",Random matrix theory and high dimensional statistics inference,Economics Building N303,"                                                                p class=""MsoNormal"" align=""left"" style=""line-height: 18pt;""span style=""font-family: Arial;""span lang=""EN-US"" style=""font-size: 11pt;""Abstract/span/spanspan lang=""EN-US"" style=""font-size: 11pt; font-family: Arial, sans-serif;""o:p/o:p/spanp class=""MsoNormal"" align=""left"" style=""line-height: 18pt;""span style=""font-family: Arial;""span lang=""EN-US"" style=""font-size: 11pt;""This talk is about a short introduction to random matrix theory (large sample covariance matrices) /spanspan lang=""EN-US"" style=""font-size: 11pt;""including CLT of the extreme eigenvalue and linear spectral statistics. Its applications to high/spanspan lang=""EN-US"" style=""font-size: 11pt;"" dimensional statistics inference will be discussed as well./span/spanspan lang=""EN-US"" style=""font-size: 11pt; font-family: Arial, sans-serif;""o:p/o:p/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-15(星期一)13:00-14:30, Shawn Xiaoguang Chen （陈晓光）,                                            中国人民大学财政金融学院和英国伦敦经济学院（LSE）,Effect of Fiscal Squeeze on Tax Enforcement: Evidence from a Natural Ex...,N303 经济楼/Economics Building,"                                                                div style=""line-height:150%""bspan style=""font-size:12.0pt;line-height:150%""摘要：/span/bspan style=""font-size:12.0pt;line-height:150%""How significantly, and through what mechanisms, can taxation be constrained by weak tax enforcement? This paper uses the abolition of agricultural tax in 2005 across China as a natural &lsquo;Fiscal squeeze&rsquo; experiment in which the revenue loss of county governments can be largely and quickly offset by tougher tax enforcement. With a focus on the VAT payment by formal firms, this paper claims a novel finding that VAT enforcement is predominantly made by raising the effective VAT rate, rather than by cracking down on the under-reporting of tax base. The incentive for VAT enforcement can be weakened, however, if the county: (1) receives a lower proportion of total VAT revenues after sharing with prefectural and provincial governments; (2) has a broader VAT tax base; or, (3) has more abundant sources of revenue from land sales./span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-12(星期五)16:30-18:00, O-Chia Chuang,"                                            Assistant professor in thedepartment of Mathematical Economics and Mathematical Finance, Economics and Management school,Wuhan University&nbsp;Prof. O-Chia Chuang' CV",Risk Measures Based on First Four Moments and Resulting Trading Strateg...,N303 经济楼/Economics Building,"                                                                &nbsp;div style=""font-size: 14px; line-height: 23.7999992370605px;""Abstract:div style=""font-size: 14px; line-height: 23.7999992370605px;""In this paper we propose a method to calculate the risk measures proposed by Aumanndiv style=""font-size: 14px; line-height: 23.7999992370605px;""and Serrano (2008) and Huang, Tzeng, and Wang (2012), where the former is related todiv style=""font-size: 14px; line-height: 23.7999992370605px;""stochastic dominance, and the latter hinges on central dominance. This method enables us&nbsp;to utilize the information about mean, variance, skewness, and kurtosis of a distribution. We&nbsp;demonstrate the risk measure of Huang et al. (2012) provides sufficient information for the&nbsp;investment decision of all constant absolute risk averse investors in the traditional portfolio&nbsp;selection model. A trading strategy is then constructed with respect to this measure. Our&nbsp;empirical results show that this trading strategy outperforms buy-and-hold trading strategy&nbsp;during sample period from January 2001 to October 2009, and conclude that information&nbsp;of higher order moments are valuable for invest decisions.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-09(星期二)16:30-18:00, Shujie Yao,                                            University of NottinghamProf. Shujie Yao&lsquo;s CV&nbsp;,Has China displaced the outward investments of OECD countries?,N303 经济楼/Economics Building,"                                                                &nbsp;span style=""font-size: 14px;""Abstract: As China has rapidly emerged as one of the world&rsquo;s largest investors abroad, there has been a hectic debate in the literature on whether its emergence as a major foreign investor may have undermined the importance of western industrialised economies, including those in the Organisation for Economic Cooperation and Development (OECD). This paper aims to investigate whether this is the case. The study uses a panel dataset covering 155 countries, including 33 in the OECD, where China had invested during 2003-09. This is by far the most comprehensive dataset of China&rsquo;s outward foreign direct investment (OFDI). A two-stage least squared (TSLS) regression approach is adopted for our econometric models according to an established augmented gravity model in the literature. The empirical results show clear evidence that China&rsquo;s OFDI displaces that of the OECD countries, but the argument that China&rsquo;s emergence is a &lsquo;new colonialism&rsquo; is not supported as OECD countries&rsquo; OFDI in&nbsp; resource abundant host countries, particularly that in Africa and Latin America, does not appear to have been displaced by China&rsquo;s OFDI./span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-08(星期一)16:30-18:30, Adam M. Brandenburger,                                            New&nbsp;York&nbsp;University&nbsp;Prof. Adam M. Brandenburger' CV,How Many Levels Do Players Reason? Observational Challenges and a Solut...,N303 经济楼/Economics Building,"                                                                blockquote cite=""mid:540DE7B1-B0FE-4717-A0EB-00466BA4248E@gmail.com"" type=""cite"" style=""margin-top: 0px; margin-bottom: 0px; margin-left: 0.5em; font-size: 14px; line-height: 21px;""blockquote type=""cite"" style=""margin-top: 0px; margin-bottom: 0px; margin-left: 0.5em;""div style=""position: static !important;""Abstract:br /br /How can a researcher identify the number of levels of reasoning undertaken by players in a game?&nbsp; We focus on the case where the researcher cannot observe players' beliefs.&nbsp; Instead, the researcher has access to data which serve as a signal of the players' strategies.&nbsp; In the case of simultaneous-move games, standard results relate levels of reasoning to rounds of elimination of dominated strategies and, thereby, allow the researcher to partition the data to answer this question.&nbsp; However, in extensive-form games, levels of reasoning cannot be directly related to elimination of conditionally dominated strategies.&nbsp; The main theorem of this paper shows how to solve the researcher's inference problem in extensive-form games./blockquote/blockquote"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-08(星期一)16:30,董澍琦教授,                    ,Changes in Ownership Structure and Bank Efficiency in Asia Developing C...,经济楼N301,                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-08(星期一)16:30-17:45,Dr. Mark E. Holder,"                                            Senior Learning Consultant, AMT Corp and Intuition LTD&nbsp;Dr. Mark E. Holder' CV",Commodity Markets: The role of warehousing and INCO terms,N302 经济楼/Economics Building,"                                                                div style=""margin: 0in 0in 0.0001pt; font-size: 12pt;""span style=""font-size: 11pt;""This seminar will look at the physicality of commodity markets in contrast with financial markets.&nbsp; Understanding physical molecule movement is key to trading and pricing in these markets.&nbsp; The role of warehouses is reviewed as well as issues that can occur in warehousing.&nbsp; The LME Aluminum case is highlighted to provide context for these points.&nbsp; Additionally, the importance of INCO terms to international commodity markets is reviewed to provide a better understanding of how commodity markets function and transact./spandiv style=""margin: 0in 0in 0.0001pt; font-size: 12pt;""&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-04 16:30,李旻文博士,                    ,"Risk Shocks, Uncertainty Shocks, and Corporate Policies",经济楼N301,"                                                                We measure two types of uncertainty shocks, risk and ambiguity, through textual analysis ofcorporate annual 10-K reports, and examine their implications on the ecosystem of corporatepolicies. We find that risk shocks lead to simultaneous negative adjustments in leverage,investment, employment and payout, and positive adjustment in cash holdings. Theeconomically significant impact of risk shocks persists for years, and is stronger for firmswith smaller size, lower credit ratings, and negative earnings. Not all policies respond topositive and negative risk shocks symmetrically, i.e., firms appear not to increase payout andreduce cash holdings after risk level reduces. In contrast, ambiguity shocks only lead toshort-term reduction in leverage, which could be partially caused by shrinking externalcredit supply. Managers appear to adopt a ""wait-and-see"" strategy until ambiguity resolves.Keywords: Risk, ambiguity, leverage, investment, employment, payout, cash holdings"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-04(星期四)16:30-18:00, Tao (Jonas) Chen,"                                            Nanyang Business School, Nanyang Technological University&nbsp;",Does Information Asymmetry Affect Corporate Tax Aggressiveness?,N303 经济楼/Economics Building,"                                                                Abstract:The paper investigates the effects of information asymmetry on corporate tax avoidance. Our baseline results indicate that analyst coverage reduces tax avoidance. Using a Difference-in-Differences approach based on two sources of exogenous changes in information asymmetry caused by broker closures and mergers, we find that firms engage in more tax avoidance activities after an exogenous drop in the number of analysts following the firm, compared to similar firms that do not experience such an exogenous drop in analyst coverage. The evidence therefore suggests a strong negative causal effect of analyst coverage on tax avoidance. We further find that the effects are mainly driven by the firms with smaller initial analyst coverage and more financial constraints. Moreover, the effects are more pronounced in the subset of firms with more information opacity and poorer corporate governance. We further discuss potential channels through which analysts affect tax avoidance: with less competition due to exogenous broker exits, the remaining analysts are producing less informative reports and issuing more biased forecasts. Overall, our paper offers novel evidence that information transparency plays an important role in corporate tax avoidance decisions, and with increased information opacity induced by exogenous drops in analyst coverage, firms are likely to avoid taxes more aggressively.&nbsp;JEL classification: D82; G24; G32; G34; H26; M40&nbsp;Keywords: Information asymmetry; Analyst coverage; Corporate tax avoidance; Natural experiment; Broker closures and mergers&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-03(星期三)16:30-18:00, Xiaojian Zhao,                                            Hong Kong University of Science and TechnologyProf. Xiaojian Zhao' CV,Foundations of Buy-Back Contracts,N303 经济楼/Economics Building,"                                                                Abstract:This paper characterizes the optimal supply-chain contract from the perspective of incentive theory. most of the supply-chain literature takes the contractual form as given and investigates its implications and uses in various contexts.we show that when the retailer faces limited liability and privately observes demand,the optimal arrangement can be implemented by the familiar buy-back contract.under this contract,the retailer makes an upfront payment and sells unsold inventory back to the supplier at a price equal to the retailer's salvage value.the returns therefore serve as a screening tool that differentiates different types of retailers ex posta href=""/EventsMgr/Upload/File/2014/11/20141124105654244.pdf""Paper download/a"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-03(星期三)16:30-18:00,Runze Li,"                                            &nbsp;Runze Li,&nbsp;Distinguished Professor of Statistics, The Pennsylvania State University",A High-Dimensional Nonparametric Multivariate Test for Mean Vector,Economics Building N302,"                                                                &nbsp;span style=""font-family: 'times new roman', 'new york', times, serif; font-size: 16px; line-height: 26px;""Abstract:/spandiv style=""font-family: 'times new roman', 'new york', times, serif; font-size: 16px; line-height: 26px;""This work is concerned with testing the population mean vector of nonnormal high-dimensional multivariate data. Several tests for high-dimensional mean vector, based on modifying the classical Hotelling T2 test, have been proposed in the literature. Despite their usefulness, they tend to have unsatisfactory power performance for heavy-tailed multivariate data, which frequently arise in genomics and quantitative finance. This paper proposes a novel high-dimensional nonparametric test for the population mean vector for a general class of multivariate distributions. With the aid of new tools in modern probability theory, we proved that the limiting null distribution of the proposed test is normal under mild conditions when the dimension p is substantially larger than the sample size n. We further study the local power of the proposed test and compare its relative efficiency with a modified Hotelling T2 test for high-dimensional data. An interesting finding is that the newly proposed test can have even more substantial power gain with large p than the traditional nonparametric multivariate test does with finite fixed p. We study the finite sample performance of the proposed test via Monte Carlo simulations. We further illustrate its application by an empirical analysis of a genomics data set."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-12-02(星期二)19:15-20:30, Jerome Adda,                                            &nbsp; European University Instititute and IZA&nbsp;Jerome Adda 教授（欧洲大学学院和德国劳动经济研究所）,Migrant Wages. Human Capital Accumulation and Return Migration,N118 经济楼/Economics Building,                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-11-27(星期四)16:30-18:00, Travis Ng ,                                            &nbsp;the Chinese University of Hong Kong&nbsp;Prof. Travis Ng's CV,The Unintended Consequence of the U.S. Dividend Tax Cut on Non-U.S. Fir...,N303 经济楼/Economics Building,"                                                                div style=""font-size: 14px;""Abstract:div style=""font-size: 14px;""The 2003 Jobs and Growth Tax Relief Reconciliation Act reduces the tax rate on qualified dividends for U.S. firms and &nbsp;firms in tax treaty countries. We find evidence that this tax cut has an impact on certain non-U.S. firms: After the tax cut, firms in treaty countries and with low withholding tax rate increase their propensities to pay dividends relative to other firms. This impact is statistically and economically significant. Our results reject the view that the ``come-and-go'' nature of FPI, in contrast to FDI that is more persistent, renders it having little real effect on the invested countries. We reach two conclusions: 1) other than FDI, FPI also has real effects on the invested countries, and 2) U.S. tax policy has both domestic and international implications."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-11-25(星期二)19:15-20:30, Andrea Weber,                                            University of Mannheim and IZA(曼海姆大学和德国劳动经济研究所),"Coworkers, Networks, and Job Search Outcomes",N118 经济楼/Economics Building,"                                                                span style=""font-size:11.0pt""Abstract: Social networks are an important channel of information transmission in the labor market.This paper studies the mechanisms by which social networks have an impact on labormarket outcomes of displaced workers. We base our analysis on administrative records forthe universe of private sector employment in Austria where we define work-related networksformed by past coworkers. To distinguish between mechanisms of information transmission,we adopt two different network perspectives. From the job-seeker's perspective we analyzehow network characteristics affect job finding rates and wages in the new jobs. Then weswitch to the perspective of the hiring firm and analyze which types of displaced workersget hired by firms that are connected to a closing firm via past coworker links. Our resultsindicate that employment status and the firm types of former coworkers are crucial for thejob finding success of their displaced contacts. Moreover, 21% of displaced workers find anew job in a firm that is connected to their former workplace. Among all workers that weredisplaced from the same closing firm those with a direct link to a former coworker are twiceas likely to be hired by the connected firm than workers without a link. These results highlightthe role of work related networks in the transmission of job information and stronglysuggest that job referrals are an important mechanism./spandiv align=""left""ispan style=""font-size:11.0pt;color:#C45911;""Note: The &ldquo;WISE-IZA&rdquo; seminar series is transmitted from IZA in Bonn using e-conference technology./span/idiv align=""left""&nbsp;&nbsp;span style="" font-size: 12pt;""摘要：社会网络是劳动力市场上一个重要的信息传输渠道。本文研究社会网络对失业下岗员工的劳动力市场结果产生影响的机制。我们使用的是奥地利所有私营部门就业的行政管理记录。这里我们用曾经的同事定义职场有关的网络。为了区分信息传输机制，我们采用两种不同的网络视角。从求职者的角度，我们分析网络的特征是如何影响找到工作的比率以及新工作的工资水平。从用人单位的角度，我们分析什么样的下岗员工更可能被与有关闭公司旧同事工作的公司聘用。我们的分析显示就业状态以及旧同事工作的公司类型对于是否能成功找到工作很重要。特别的是，有/spanspan style="" font-size: 12pt;""20%/spanspan style="" font-size: 12pt;""的下岗员工在有旧同事工作的公司找到工作。相对于与旧同事没直接联系的员工，与旧同事有直接联系的员工在旧同事工作的公司找到工作的可能性要高一倍。我们的发现说明工作中建立的网络对于工作信息的传导非常重要。这说明同事的推荐是工作搜寻中一个重要的机制。/spanispan style=""font-size:11.0pt;color:#C45911;""注：本系列讲座使用远程会议系统传输自德国波恩的/span/iispan style=""font-size:11.0pt;color:#C45911;""IZA/span/iispan style=""font-size:11.0pt;color:#C45911;""总部。/span/i"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2014-11-25(星期二)16:30-18:00, Tao Chen,"                                            Assistant Professor of Economics, University of Waterloo&nbsp;",An Approximation of Logarithmic Functions In the Regression Setting -- ...,N303 经济楼/Economics Building,"                                                                div style=""font-size: 13px;""span style=""font-size: 10pt;""The abstract is:&nbsp;/spanWe consider a method of moments approach for dealing with&nbsp;span style=""font-size: 10pt;""censoring at zero for data expressed in levels when researchers&nbsp;/spanspan style=""font-size: 10pt;""would like to take logarithms. A Box&ndash;Cox transformation is&nbsp;/spanspan style=""font-size: 10pt;""employed. We explore this approach in the context of linear&nbsp;/spanspan style=""font-size: 10pt;""regression where both dependent and independent variables are&nbsp;/spanspan style=""font-size: 10pt;""censored. We contrast this method to two others, (1) dropping&nbsp;/spanspan style=""font-size: 10pt;""records of data containing censored values and (2) assuming&nbsp;/spannormality for censored observations and the residuals in the model.&nbsp;span style=""font-size: 10pt;""Across the methods considered, where researchers are interested&nbsp;/spanspan style=""font-size: 10pt;""primarily in the slope parameter, estimation bias is consistently&nbsp;/spanspan style=""font-size: 10pt;""reduced using the method of moments approach./span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
